Geographic Area,City,Median Income
AL,Abanda CDP,11207.0
AL,Abbeville city,25615.0
AL,Adamsville city,42575.0
AL,Addison town,37083.0
AL,Akron town,21667.0
AL,Alabaster city,71816.0
AL,Albertville city,32911.0
AL,Alexander City city,29874.0
AL,Alexandria CDP,56058.0
AL,Aliceville city,21131.0
AL,Allgood town,42009.0
AL,Altoona town,27566.0
AL,Andalusia city,31968.0
AL,Anderson town,34792.0
AL,Anniston city,29681.0
AL,Arab city,40292.0
AL,Ardmore town,35670.0
AL,Argo town,57212.0
AL,Ariton town,24286.0
AL,Arley town,28750.0
AL,Ashford town,42704.0
AL,Ashland town,31438.0
AL,Ashville city,40547.0
AL,Athens city,47542.0
AL,Atmore city,26775.0
AL,Attalla city,37191.0
AL,Auburn city,38342.0
AL,Autaugaville town,24833.0
AL,Avon town,40417.0
AL,Axis CDP,55750.0
AL,Babbie town,41912.0
AL,Baileyton town,31875.0
AL,Bakerhill town,31875.0
AL,Ballplay CDP,37778.0
AL,Banks town,28750.0
AL,Bay Minette city,31576.0
AL,Bayou La Batre city,34583.0
AL,Bear Creek town,35563.0
AL,Beatrice town,18417.0
AL,Beaverton town,31875.0
AL,Belgreen CDP,27750.0
AL,Belk town,28906.0
AL,Bellamy CDP,22132.0
AL,Belle Fontaine CDP,34615.0
AL,Berry town,25865.0
AL,Bessemer city,29615.0
AL,Billingsley town,41250.0
AL,Birmingham city,31061.0
AL,Black town,41071.0
AL,Blountsville town,30152.0
AL,Blue Ridge CDP,96333.0
AL,Blue Springs town,45313.0
AL,Boaz city,35974.0
AL,Boligee town,12173.0
AL,Bon Air town,23750.0
AL,Brantley town,27870.0
AL,Brantleyville CDP,40370.0
AL,Brent city,33924.0
AL,Brewton city,31033.0
AL,Bridgeport city,28571.0
AL,Brighton city,22146.0
AL,Brilliant town,25893.0
AL,Brook Highland CDP,60212.0
AL,Brookside town,34554.0
AL,Brookwood town,51515.0
AL,Broomtown CDP,28750.0
AL,Brundidge city,23819.0
AL,Butler town,28950.0
AL,Calera city,62893.0
AL,Camden city,28375.0
AL,Camp Hill town,25118.0
AL,Carbon Hill city,25990.0
AL,Carlisle-Rockledge CDP,35938.0
AL,Carolina town,50278.0
AL,Carrollton town,27857.0
AL,Castleberry town,20677.0
AL,Cedar Bluff town,36389.0
AL,Center Point city,39944.0
AL,Centre city,31268.0
AL,Centreville city,41103.0
AL,Chatom town,35365.0
AL,Chelsea city,85757.0
AL,Cherokee town,28359.0
AL,Chickasaw city,30973.0
AL,Childersburg city,25948.0
AL,Choccolocco CDP,54825.0
AL,Citronelle city,48125.0
AL,Clanton city,39823.0
AL,Clay city,68717.0
AL,Clayhatchee town,32656.0
AL,Clayton town,25203.0
AL,Cleveland town,40909.0
AL,Clio city,19539.0
AL,Coaling town,54167.0
AL,Coats Bend CDP,42821.0
AL,Coffee Springs town,33636.0
AL,Coffeeville town,19583.0
AL,Coker town,45795.0
AL,Collinsville town,25795.0
AL,Colony town,33063.0
AL,Columbia town,31806.0
AL,Columbiana city,32700.0
AL,Concord CDP,44620.0
AL,Coosada town,47406.0
AL,Cordova city,19139.0
AL,Cottondale CDP,43875.0
AL,Cottonwood town,25313.0
AL,County Line town,55313.0
AL,Courtland town,33125.0
AL,Cowarts town,43533.0
AL,Creola city,51705.0
AL,Crossville town,30833.0
AL,Cuba town,40673.0
AL,Cullman city,38746.0
AL,Cusseta town,52500.0
AL,Dadeville city,29368.0
AL,Daleville city,45651.0
AL,Daphne city,60737.0
AL,Dauphin Island town,63594.0
AL,Daviston town,47639.0
AL,Deatsville town,78125.0
AL,Decatur city,41496.0
AL,Demopolis city,27656.0
AL,Detroit town,24107.0
AL,Dodge City town,41346.0
AL,Dora city,40769.0
AL,Dothan city,42426.0
AL,Double Springs town,29063.0
AL,Douglas town,29318.0
AL,Dozier town,21765.0
AL,Dunnavant CDP,42857.0
AL,Dutton town,39688.0
AL,East Brewton city,26736.0
AL,East Point CDP,62059.0
AL,Eclectic town,41304.0
AL,Edgewater CDP,26818.0
AL,Edwardsville town,38438.0
AL,Egypt CDP,56693.0
AL,Elba city,26156.0
AL,Elberta town,31190.0
AL,Eldridge town,30000.0
AL,Elkmont town,39583.0
AL,Elmore town,40150.0
AL,Emelle town,36250.0
AL,Emerald Mountain CDP,91054.0
AL,Enterprise city,54450.0
AL,Epes town,25000.0
AL,Ethelsville town,40417.0
AL,Eufaula city,32845.0
AL,Eunola CDP,42023.0
AL,Eutaw town,22377.0
AL,Eva town,39868.0
AL,Evergreen city,18661.0
AL,Excel town,34375.0
AL,Fairfield city,34890.0
AL,Fairford CDP,32269.0
AL,Fairhope city,61489.0
AL,Fairview town,37750.0
AL,Falkville town,33846.0
AL,Faunsdale town,20625.0
AL,Fayette city,30646.0
AL,Fayetteville CDP,34632.0
AL,Five Points town,45000.0
AL,Flomaton town,24406.0
AL,Florala town,25673.0
AL,Florence city,35731.0
AL,Foley city,40938.0
AL,Forestdale CDP,48654.0
AL,Forkland town,19063.0
AL,Fort Deposit town,23963.0
AL,Fort Payne city,38833.0
AL,Fort Rucker CDP,59265.0
AL,Franklin town,60417.0
AL,Fredonia CDP,66591.0
AL,Frisco City town,17311.0
AL,Fruitdale CDP,63125.0
AL,Fruithurst town,35625.0
AL,Fulton town,32083.0
AL,Fultondale city,51587.0
AL,Fyffe town,42356.0
AL,Gadsden city,29136.0
AL,Gainesville town,14444.0
AL,Gallant CDP,45859.0
AL,Gantt town,47000.0
AL,Garden City town,31591.0
AL,Gardendale city,56132.0
AL,Gaylesville town,26818.0
AL,Geiger town,45125.0
AL,Geneva city,29912.0
AL,Georgiana town,19969.0
AL,Geraldine town,42292.0
AL,Gilbertown town,33750.0
AL,Glen Allen town,24531.0
AL,Glencoe city,46691.0
AL,Glenwood town,36000.0
AL,Goldville town,46250.0
AL,Good Hope town,47754.0
AL,Goodwater town,23809.0
AL,Gordo town,30781.0
AL,Gordon town,22250.0
AL,Gordonville town,18224.0
AL,Goshen town,40132.0
AL,Graham CDP,41914.0
AL,Grand Bay CDP,48767.0
AL,Grant town,55000.0
AL,Grayson Valley CDP,46250.0
AL,Graysville city,41282.0
AL,Greensboro city,21797.0
AL,Greenville city,29741.0
AL,Grimes town,31579.0
AL,Grove Hill town,31786.0
AL,Guin city,23000.0
AL,Gulfcrest CDP,68462.0
AL,Gulf Shores city,47662.0
AL,Guntersville city,39756.0
AL,Gurley town,32500.0
AL,Gu-Win town,39000.0
AL,Hackleburg town,28819.0
AL,Hackneyville CDP,60474.0
AL,Haleburg town,54167.0
AL,Haleyville city,24291.0
AL,Hamilton city,33053.0
AL,Hammondville town,43281.0
AL,Hanceville city,29231.0
AL,Harpersville town,35972.0
AL,Hartford city,22094.0
AL,Hartselle city,53878.0
AL,Harvest CDP,63708.0
AL,Hayden town,50795.0
AL,Hayneville town,18802.0
AL,Hazel Green CDP,41938.0
AL,Headland city,51822.0
AL,Heath town,38333.0
AL,Heflin city,25823.0
AL,Helena city,84615.0
AL,Henagar city,30757.0
AL,Highland Lake town,51250.0
AL,Highland Lakes CDP,124291.0
AL,Hillsboro town,34712.0
AL,Hissop CDP,25032.0
AL,Hobson City town,25563.0
AL,Hodges town,29583.0
AL,Hokes Bluff city,46042.0
AL,Hollis Crossroads CDP,34408.0
AL,Holly Pond town,44750.0
AL,Hollywood town,29306.0
AL,Holt CDP,30446.0
AL,Holtville CDP,52713.0
AL,Homewood city,61626.0
AL,Hoover city,77146.0
AL,Horn Hill town,34464.0
AL,Hueytown city,42172.0
AL,Huguley CDP,42063.0
AL,Huntsville city,48775.0
AL,Hurtsboro town,19732.0
AL,Hytop town,38542.0
AL,Ider town,32692.0
AL,Indian Springs Village city,96346.0
AL,Irondale city,47351.0
AL,Ivalee CDP,50737.0
AL,Jackson city,31232.0
AL,Jacksons' Gap town,36719.0
AL,Jacksonville city,38903.0
AL,Jasper city,39695.0
AL,Jemison city,38500.0
AL,Joppa CDP,23672.0
AL,Kansas town,38542.0
AL,Kellyton town,29688.0
AL,Kennedy town,35054.0
AL,Killen town,55313.0
AL,Kimberly city,76771.0
AL,Kinsey town,37109.0
AL,Kinston town,23571.0
AL,Ladonia CDP,32713.0
AL,La Fayette city,25666.0
AL,Lakeview town,46250.0
AL,Lake View town,88594.0
AL,Lanett city,25220.0
AL,Langston town,31875.0
AL,Leeds city,52689.0
AL,Leesburg town,41397.0
AL,Leighton town,22500.0
AL,Leroy CDP,47365.0
AL,Level Plains town,65769.0
AL,Lexington town,35521.0
AL,Libertyville town,44286.0
AL,Lillian CDP,51776.0
AL,Lincoln city,55605.0
AL,Linden city,29722.0
AL,Lineville city,31472.0
AL,Lipscomb city,26163.0
AL,Lisman town,28750.0
AL,Littleville town,49107.0
AL,Livingston city,14426.0
AL,Loachapoka town,34688.0
AL,Lockhart town,36250.0
AL,Locust Fork town,57143.0
AL,Lookout Mountain CDP,51058.0
AL,Louisville town,34286.0
AL,Lowndesboro town,39375.0
AL,Loxley town,48000.0
AL,Luverne city,29844.0
AL,Lynn town,33452.0
AL,McDonald Chapel CDP,15588.0
AL,McIntosh town,48625.0
AL,McKenzie town,31500.0
AL,Madison city,92960.0
AL,Madrid town,38750.0
AL,Magnolia Springs town,47614.0
AL,Malvern town,37000.0
AL,Maplesville town,32788.0
AL,Marbury CDP,37672.0
AL,Margaret town,64789.0
AL,Marion city,31029.0
AL,Maytown town,43750.0
AL,Meadowbrook CDP,92193.0
AL,Mentone town,38750.0
AL,Meridianville CDP,68368.0
AL,Midfield city,39678.0
AL,Midland City town,27163.0
AL,Midway town,24514.0
AL,Mignon CDP,32452.0
AL,Millbrook city,58330.0
AL,Millerville CDP,24861.0
AL,Millport town,32443.0
AL,Millry town,37813.0
AL,Minor CDP,45000.0
AL,Mobile city,38776.0
AL,Monroeville city,30678.0
AL,Montevallo city,34760.0
AL,Montgomery city,42927.0
AL,Moody city,61049.0
AL,Moores Mill CDP,63911.0
AL,Mooresville town,99375.0
AL,Morris town,70043.0
AL,Morrison Crossroads CDP,21169.0
AL,Mosses town,15240.0
AL,Moulton city,28843.0
AL,Moundville town,39719.0
AL,Mountain Brook city,126534.0
AL,Mount Olive CDP (Jefferson County),73345.0
AL,Mount Vernon town,40750.0
AL,Mulga town,34886.0
AL,Munford town,34034.0
